<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
explorer	TITLE	MISC	1
executioner	TITLE	MISC	1
factory worker	TITLE	MISC	2
factory-worker	TITLE	MISC	2
falconer	TITLE	MISC	1
farmer	TITLE	MISC	1
farrier	TITLE	MISC	1
fashion designer	TITLE	MISC	2
fashion-designer	TITLE	MISC	2
ferryman	TITLE	MISC	1
film critic	TITLE	MISC	2
film-critic	TITLE	MISC	2
film maker	TITLE	MISC	2
film-maker	TITLE	MISC	2
film director	TITLE	MISC	2
film-director	TITLE	MISC	2
film producer	TITLE	MISC	2
film-producer	TITLE	MISC	2
financial adviser	TITLE	MISC	2
financial-adviser	TITLE	MISC	2
fire marshal	TITLE	MISC	2
fire-marshal	TITLE	MISC	2
fire safety officer	TITLE	MISC	3
fire-safety-officer	TITLE	MISC	3
firefighter	TITLE	MISC	1
first mate	TITLE	MISC	2
first-mate	TITLE	MISC	2
fisherman	TITLE	MISC	1
fishmonger	TITLE	MISC	1
fitter	TITLE	MISC	1
flautist	TITLE	MISC	1
flavorist	TITLE	MISC	1
fletcher	TITLE	MISC	1
flight attendant	TITLE	MISC	2
flight-attendant	TITLE	MISC	2
flight instructor	TITLE	MISC	2
flight-instructor	TITLE	MISC	2
flight technician	TITLE	MISC	2
flight-technician	TITLE	MISC	2
flight engineer	TITLE	MISC	2
flight-engineer	TITLE	MISC	2
floor manager	TITLE	MISC	2
floor-manager	TITLE	MISC	2
florist	TITLE	MISC	1
flutist	TITLE	MISC	1
food critic	TITLE	MISC	2
food-critic	TITLE	MISC	2
footballer	TITLE	MISC	1
footman	TITLE	MISC	1
forester	TITLE	MISC	1
fortune teller	TITLE	MISC	2
fortune-teller	TITLE	MISC	2
fowler	TITLE	MISC	1
funeral director	TITLE	MISC	2
funeral-director	TITLE	MISC	2
game designer	TITLE	MISC	2
game-designer	TITLE	MISC	2
game show host	TITLE	MISC	3
game-show-host	TITLE	MISC	3
game warden	TITLE	MISC	2
game-warden	TITLE	MISC	2
gamekeeper	TITLE	MISC	1
gangster	TITLE	MISC	1
garbage collector	TITLE	MISC	2
garbage-collector	TITLE	MISC	2
gardener	TITLE	MISC	1
gate-keeper	TITLE	MISC	1
gate keeper	TITLE	MISC	1
gemcutter	TITLE	MISC	1
genealogist	TITLE	MISC	1
general	TITLE	MISC	1
geographer	TITLE	MISC	1
geologist	TITLE	MISC	1
geometrician	TITLE	MISC	1
geophysicist	TITLE	MISC	1
gigolo	TITLE	MISC	1
gladiator	TITLE	MISC	1
goldsmith	TITLE	MISC	1
gondolier	TITLE	MISC	1
gofer	TITLE	MISC	1
governess	TITLE	MISC	1
government agent	TITLE	MISC	2
government-agent	TITLE	MISC	2
governor	TITLE	MISC	1
grammarian	TITLE	MISC	1
graphic artist	TITLE	MISC	2
graphic-artist	TITLE	MISC	2
graphic designer	TITLE	MISC	2
graphic-designer	TITLE	MISC	2
gravedigger	TITLE	MISC	1
greengrocer	TITLE	MISC	1
grocer	TITLE	MISC	1
guard	TITLE	MISC	1
guide	TITLE	MISC	1
guitarist	TITLE	MISC	1
gunsmith	TITLE	MISC	1
hairdresser	TITLE	MISC	1
hairstylist	TITLE	MISC	1
handyman	TITLE	MISC	1
harbourmaster	TITLE	MISC	1
harpist	TITLE	MISC	1
